.EVOL7D
.BMETAMEXT
.METAMEXTBON
.METAMEXTBON8H
.METAMEXTUSDTPI
.METAMEXTUSDTPI8H
.AVAXUSDTPI
.AVAXUSDTPI8H
.LUNAUSDTPI
.LUNAUSDTPI8H
.BAPET
.BAPET_NEXT
.APEBON
.APEBON8H
.APEUSDTPI
.APEUSDTPI8H
.GMTBON
.GMTBON8H
.GMTUSDTPI
.GMTUSDTPI8H
.GMTUSDPI
.GMTUSDPI8H
.BGMT
.BGMT_NEXT
.BGMTT
.BGMTT_NEXT
.NEARBON
.NEARBON8H
.NEARUSDTPI
.NEARUSDTPI8H
.NEARUSDPI
.NEARUSDPI8H
.BNEAR
.BNEAR_NEXT
.BNEART
.BNEART_NEXT
.BLUNA30M
.BLUNAT30M
.BAPE
.BAPE_NEXT
.BTRX
.BTRX_NEXT
.BGAL
.BGAL_NEXT
.BGALT
.BGALT_NEXT
.GALBON
.GALBON8H
.APEUSDPI
.APEUSDPI8H
.TRXUSDPI
.TRXUSDPI8H
.GALUSDTPI
.GALUSDTPI8H
.GALUSDPI
.GALUSDPI8H
.BLUNC
.BLUNC_NEXT
.BLUNCT
.BLUNCT_NEXT
.BDFI
.BDFIT
.BGRT
.EURUSDPI
.USDCHFPI
.EURCHFPI
.EURTRYPI
.USDTRYPI
.USDINRPI
.USDZARPI
.USDBRLPI
.USDMXNPI
.NZDUSDPI
.USDCNHPI
.USDSEKPI
.EURUSDPI8H
.USDCHFPI8H
.EURCHFPI8H
.EURTRYPI8H
.USDTRYPI8H
.USDINRPI8H
.USDZARPI8H
.USDBRLPI8H
.USDMXNPI8H
.NZDUSDPI8H
.USDCNHPI8H
.USDSEKPI8H
.EURUSDTPI
.USDTCHFPI
.USDTTRYPI
.USDTINRPI
.USDTZARPI
.USDTBRLPI
.USDTMXNPI
.NZDUSDTPI
.USDTCNHPI
.USDTSEKPI
.EURUSDTPI8H
.USDTCHFPI8H
.USDTTRYPI8H
.USDTINRPI8H
.USDTZARPI8H
.USDTBRLPI8H
.USDTMXNPI8H
.NZDUSDTPI8H
.USDTCNHPI8H
.USDTSEKPI8H
.CHFBON
.TRYBON
.INRBON
.ZARBON
.BRLBON
.MXNBON
.NZDBON
.CNHBON
.SEKBON
.CHFBON8H
.TRYBON8H
.INRBON8H
.ZARBON8H
.BRLBON8H
.MXNBON8H
.NZDBON8H
.CNHBON8H
.SEKBON8H
.BEURUSD
.BUSDCHF
.BEURCHF
.BEURTRY
.BUSDTRY
.BUSDINR
.BUSDZAR
.BUSDBRL
.BUSDMXN
.BNZDUSD
.BUSDCNH
.BUSDSEK
.BEURUSD_NEXT
.BUSDCHF_NEXT
.BEURCHF_NEXT
.BEURTRY_NEXT
.BUSDTRY_NEXT
.BUSDINR_NEXT
.BUSDZAR_NEXT
.BUSDBRL_NEXT
.BUSDMXN_NEXT
.BNZDUSD_NEXT
.BUSDCNH_NEXT
.BUSDSEK_NEXT
.BEURUSDT
.BUSDTCHF
.BUSDTTRY
.BUSDTINR
.BUSDTZAR
.BUSDTBRL
.BUSDTMXN
.BNZDUSDT
.BUSDTCNH
.BUSDTSEK
.BEURUSDT_NEXT
.BUSDTCHF_NEXT
.BUSDTTRY_NEXT
.BUSDTINR_NEXT
.BUSDTZAR_NEXT
.BUSDTBRL_NEXT
.BUSDTMXN_NEXT
.BNZDUSDT_NEXT
.BUSDTCNH_NEXT
.BUSDTSEK_NEXT
.BOP
.BOP_NEXT
.BOPT
.BOPT_NEXT
.OPBON
.OPBON8H
.OPUSDTPI
.OPUSDTPI8H
.OPUSDPI
.OPUSDPI8H
.BUSDC
.BUSDCT
.BETHPOWT
.BETHPOWT_NEXT
.BETHPOWT30M
.BALTMEXT30M
.BDEFIMEXT30M
.BMETAMEXT30M
.BUSDC_NEXT
.BUSDCT_NEXT
.BKLAY
.BKLAY_NEXT
.BKLAYT
.BKLAYT_NEXT
.KLAYUSDTPI
.KLAYUSDTPI8H
.KLAYUSDPI
.KLAYUSDPI8H
.KLAYBON
.KLAYBON8H
.BSTETH
.BSTETHT
.BDAI
.BDAIT
.BBUSD
.BBUSDT
.BWBTC
.BWBTCT
.BCRO
.BCROT
.BQNT
.BQNTT
.BOKB
.BOKBT
.BLEO
.BLEOT
.BAAVE
.BMANA
.BXLM
.BVET
.BFIL
.BXTZ
.BMKR
.BFLOW
.BFLOWT
.BHBAR
.BHBART
.BEGLD
.BEGLDT
.BTUSD
.BTUSDT
.BUSDP
.BUSDPT
.BHNT
.BHNTT
.BIOTA
.BIOTAT
.BXEC
.BXECT
.BFTTT
.BUSDCHF30M
.BEURCHF30M
.BEURTRY30M
.BUSDTRY30M
.BUSDINR30M
.BUSDZAR30M
.BUSDBRL30M
.BUSDMXN30M
.BNZDUSD30M
.BUSDCNH30M
.BUSDSEK30M
.BUSDTCHF30M
.BNZDUSDT30M
.BUSDTCNH30M
.BSANDT30M
.BNEART30M
.BMANAT30M
.BSHIBT30M
.BOPT30M
.BGALT30M
.BGAL30M
.BTRX30M
.BOP30M
.BAPE30M
.BFTMT30M
.BAPT
.BAPT_NEXT
.BAPT30M
.BAPTT
.BAPTT_NEXT
.BAPTT30M
.APTBON
.APTBON8H
.APTUSDTPI
.APTUSDTPI8H
.APTUSDPI
.APTUSDPI8H
ADA/BTC:BTC-221230
XRP/BTC:BTC-221230
ETHPOW/USDT:USDT-221230
KLAY/USD:BTC
KLAY/USDT:USDT
XRP/USD:BTC
BCH/USD:BTC
DOGE/USD:BTC
BNB/USD:BTC
LINK/USD:BTC
SOL/USD:BTC
EUR/USD:BTC
EUR/USDT:USDT
USDT/TRY:USDT
USDT/INR:USDT
USDT/ZAR:USDT
USDT/BRL:USDT
USDT/MXN:USDT
USDT/SEK:USDT
APT/USD:BTC
DOGE/USDT:USDT
DOT/USDT:USDT
ADA/USDT:USDT
BNB/USDT:USDT
SOL/USDT:USDT
ADA/USD:BTC
EOS/USD:BTC
XRP/USDT:USDT
BCH/USDT:USDT
APE/USDT:USDT
GMT/USDT:USDT
GMT/USD:BTC
NEAR/USD:BTC
APT/USDT:USDT
LUNA/USD:BTC
DOT/USD:BTC
MATIC/USDT:USDT
AVAX/USD:BTC
AXS/USD:BTC
AVAX/USDT:USDT
LUNA/USDT:USDT
UNI_USDT
LINK_USDT
MATIC_USDT
AXS_USDT
APE_USDT
TRX_USDT
SOL_USDT
.XBT
.XBT30M
.XBTBON
.XBTBON8H
.XBTUSDPI
.XBTUSDPI8H
.BXBT
.BXBT30M
.BXBT_NEXT
.BXBTEUR
.BXBTEUR_NEXT
.XBTEURPI
.XBTEURPI8H
.BXBTEUR30M
.BXBTT
.BXBTT_NEXT
.BXBTT30M
.XBTUSDTPI
.XBTUSDTPI8H
.BVOL
.BVOL24H
.BVOL7D
.ETHBON
.ETHBON8H
.ETHUSDPI
.ETHUSDPI8H
.BETH
.BETH30M
.BETHXBT
.BETHXBT30M
.BETH_NEXT
.BETHXBT_NEXT
.BETHT
.BETHT_NEXT
.BETHT30M
.ETHUSDTPI
.ETHUSDTPI8H
.ETHUSD_ETHPI
.ETHUSD_ETHPI8H
.BETC
.LTCBON
.LTCBON8H
.BLTCXBT
.BLTCXBT30M
.BLTCXBT_NEXT
.BLTC
.LTCUSDPI
.LTCUSDPI8H
.BLTC_NEXT
.BLTCT
.BLTCT_NEXT
.LTCUSDTPI
.LTCUSDTPI8H
.USDBON
.USDBON8H
BTC/USD:BTC
BTC/USDT:USDT
BTC/EUR:BTC
BTC/USD:BTC-221125
BTC/USD:BTC-221230
BTC/USDT:USDT-221230
BTC/USD:BTC-230331
BTC/USDT:USDT-230331
BTC/USD:BTC-230630
XBT_USDT
ETH/USD:BTC
ETH/USDT:USDT
ETHUSD_ETH
ETH/BTC:BTC-221230
ETH/USD:ETH-221230
ETH/USDT:USDT-221230
ETH/USD:BTC-221230
ETH_USDT
ETH_XBT
LTC/USD:BTC
LTC/USDT:USDT
